bioguide_id,first_name,last_name,speaker_name,party,state,district,chamber,congress,term_start_date,term_end_date,age_at_term_start,age_at_term_end,speech_count_in_term,total_words_in_term,avg_words_per_speech
A000014,Neil,Abercrombie,"ABERCROMBIE, NEIL",D,HI,1,House,107,2001-01-03,2003-01-03,62,64,75,12963,172.8
A000022,Gary,Ackerman,"ACKERMAN, GARY",D,NY,5,House,107,2001-01-03,2003-01-03,58,60,59,14493,245.6
A000055,Robert,Aderholt,Robert B. Aderholt,R,AL,4,House,107,2001-01-03,2003-01-03,35,37,21,3517,167.5
A000069,Daniel,Akaka,"AKAKA, DANIEL",D,HI,,Senate,107,2001-01-03,2003-01-03,76,78,123,71148,578.4
A000109,Wayne,Allard,"ALLARD, WAYNE",R,CO,,Senate,107,2001-01-03,2003-01-03,57,59,282,88411,313.5
A000121,George,Allen,"ALLEN, GEORGE",R,VA,,Senate,107,2001-01-03,2003-01-03,48,50,241,89283,370.5
A000210,Robert,Andrews,"ANDREWS, ROBERT",D,NJ,1,House,107,2001-01-03,2003-01-03,43,45,173,28377,164.0
A000217,Richard,Armey,"ARMEY, RICHARD",R,TX,26,House,107,2001-01-03,2003-01-03,60,62,702,82240,117.2
A000357,Thomas,Allen,"ALLEN, THOMAS",D,ME,1,House,107,2001-01-03,2003-01-03,55,57,124,45499,366.9
A000358,W.,Akin,"AKIN, W.",R,MO,2,House,107,2001-01-03,2003-01-03,53,55,18,3131,173.9
B000013,Spencer,Bachus,"BACHUS, SPENCER",R,AL,6,House,107,2001-01-03,2003-01-03,53,55,115,24951,217.0
B000072,Richard,Baker,"BAKER, RICHARD",R,LA,6,House,107,2001-01-03,2003-01-03,52,54,33,10636,322.3
B000081,John,Baldacci,"BALDACCI, JOHN",D,ME,2,House,107,2001-01-03,2003-01-03,45,47,48,16273,339.0
B000104,Cass,Ballenger,"BALLENGER, CASS",R,NC,10,House,107,2001-01-03,2003-01-03,74,76,77,13858,180.0
B000134,James,Barcia,"BARCIA, JAMES",D,MI,5,House,107,2001-01-03,2003-01-03,48,50,29,8040,277.2
B000169,Bob,Barr,"BARR, BOB",R,GA,7,House,107,2001-01-03,2003-01-03,52,54,56,13560,242.1
B000177,Thomas,Barrett,"BARRETT, THOMAS",D,WI,5,House,107,2001-01-03,2003-01-03,47,49,13,3668,282.2
B000208,Roscoe,Bartlett,"BARTLETT, ROSCOE",R,MD,6,House,107,2001-01-03,2003-01-03,74,76,62,25391,409.5
B000213,Joe,Barton,Joe Barton,R,TX,6,House,107,2001-01-03,2003-01-03,51,53,148,19353,130.8
B000220,Charles,Bass,"BASS, CHARLES",R,NH,2,House,107,2001-01-03,2003-01-03,48,50,32,5856,183.0
B000243,Max,Baucus,"BAUCUS, MAX",D,MT,,Senate,107,2001-01-03,2003-01-03,59,61,786,231929,295.1
B000287,Xavier,Becerra,"BECERRA, XAVIER",D,CA,30,House,107,2001-01-03,2003-01-03,42,44,53,20903,394.4
B000382,Robert,Bennett,"BENNETT, ROBERT",R,UT,,Senate,107,2001-01-03,2003-01-03,67,69,183,87301,477.1
B000400,Ken,Bentsen,"BENTSEN, KEN",D,TX,25,House,107,2001-01-03,2003-01-03,41,43,161,77816,483.3
B000403,Douglas,Bereuter,"BEREUTER, DOUGLAS",R,NE,1,House,107,2001-01-03,2003-01-03,61,63,334,78226,234.2
B000410,Howard,Berman,"BERMAN, HOWARD",D,CA,26,House,107,2001-01-03,2003-01-03,59,61,71,15365,216.4
B000420,Robert,Berry,"BERRY, ROBERT",D,AR,1,House,107,2001-01-03,2003-01-03,58,60,56,23638,422.1
B000444,Joseph,Biden,"BIDEN, JOSEPH",D,DE,,Senate,107,2001-01-03,2003-01-03,58,60,395,238973,605.0
B000463,Michael,Bilirakis,"BILIRAKIS, MICHAEL",R,FL,9,House,107,2001-01-03,2003-01-03,70,72,213,34088,160.0
B000468,Jeff,Bingaman,"BINGAMAN, JEFF",D,NM,,Senate,107,2001-01-03,2003-01-03,57,59,868,255497,294.4
B000490,Jr.,Sanford D. Bishop,"Sanford D. Bishop, Jr.",D,GA,2,House,107,2001-01-03,2003-01-03,53,55,48,11888,247.7
B000518,Rod,Blagojevich,"BLAGOJEVICH, ROD",D,IL,5,House,107,2001-01-03,2003-01-03,44,46,4,1242,310.5
B000574,Earl,Blumenauer,Earl Blumenauer,D,OR,3,House,107,2001-01-03,2003-01-03,52,54,314,123524,393.4
B000575,Roy,Blunt,Roy Blunt,R,MO,7,House,107,2001-01-03,2003-01-03,50,52,96,14223,148.2
B000586,Sherwood,Boehlert,"BOEHLERT, SHERWOOD",R,NY,23,House,107,2001-01-03,2003-01-03,64,66,152,29215,192.2
B000589,John,Boehner,"BOEHNER, JOHN",R,OH,8,House,107,2001-01-03,2003-01-03,51,53,361,51185,141.8
B000611,Christopher,Bond,"BOND, CHRISTOPHER",R,MO,,Senate,107,2001-01-03,2003-01-03,61,63,559,245045,438.4
B000617,Henry,Bonilla,"BONILLA, HENRY",R,TX,23,House,107,2001-01-03,2003-01-03,47,49,189,12087,64.0
B000619,David,Bonior,"BONIOR, DAVID",D,MI,10,House,107,2001-01-03,2003-01-03,55,57,232,32789,141.3
B000644,Robert,Borski,"BORSKI, ROBERT",D,PA,3,House,107,2001-01-03,2003-01-03,52,54,19,7052,371.2
B000652,Leonard,Boswell,"BOSWELL, LEONARD",D,IA,3,House,107,2001-01-03,2003-01-03,66,68,18,6258,347.7
B000657,Frederick,Boucher,"BOUCHER, FREDERICK",D,VA,9,House,107,2001-01-03,2003-01-03,54,56,30,6159,205.3
B000711,Barbara,Boxer,"BOXER, BARBARA",D,CA,,Senate,107,2001-01-03,2003-01-03,60,62,643,176392,274.3
B000716,Allen,Boyd,"BOYD, ALLEN",D,FL,2,House,107,2001-01-03,2003-01-03,55,57,44,11081,251.8
B000755,Kevin,Brady,Kevin Brady,R,TX,8,House,107,2001-01-03,2003-01-03,45,47,70,16904,241.5
B000780,John,Breaux,"BREAUX, JOHN",D,LA,,Senate,107,2001-01-03,2003-01-03,56,58,196,74178,378.5
B000911,Corrine,Brown,"BROWN, CORRINE",D,FL,3,House,107,2001-01-03,2003-01-03,54,56,109,18893,173.3
