bioguide_id,speaker_name,party,state,chamber,first_congress,last_congress,speech_count
M001200,A. Donald McEachin,D,VA,E,115,117,57
F000465,A. Drew Ferguson IV,R,GA,H,115,118,45
A000014,"ABERCROMBIE, NEIL",D,HI,H,107,111,566
A000022,"ACKERMAN, GARY",D,NY,H,107,112,470
A000366,"ADAMS, SANDY",R,FL,H,112,112,52
A000364,"ADLER, JOHN",D,NJ,H,111,111,26
A000069,"AKAKA, DANIEL",D,HI,S,107,112,1239
A000358,"AKIN, W.",R,MO,H,107,112,1644
A000361,"ALEXANDER, RODNEY",R,LA,H,108,112,40
A000109,"ALLARD, WAYNE",R,CO,S,107,110,1445
A000121,"ALLEN, GEORGE",R,VA,S,107,109,772
A000357,"ALLEN, THOMAS",D,ME,H,107,110,328
A000362,"ALTMIRE, JASON",D,PA,H,110,112,568
A000210,"ANDREWS, ROBERT",D,NJ,H,107,113,1524
A000363,"ARCURI, MICHAEL",D,NY,H,110,111,650
A000217,"ARMEY, RICHARD",R,TX,H,107,107,702
A000373,"ASHFORD, BRAD",D,NE,H,114,114,45
A000365,"AUSTRIA, STEVE",R,OH,H,111,112,49
A000368,"AYOTTE, KELLY",R,NH,S,112,114,459
B001314,Aaron Bean,R,FL,H,118,119,80
F000467,Abby Finkenauer,D,IA,H,116,116,4
S001209,Abigail Davis Spanberger,D,VA,H,116,118,87
H001098,Abraham J. Hamadeh,R,AZ,E,119,119,2
S001150,Adam B. Schiff,D,CA,S,107,119,960
G000605,Adam Gray,D,CA,E,119,119,4
K000378,Adam Kinzinger,R,IL,E,112,117,170
S000510,Adam Smith,D,WA,H,107,119,855
M001240,Addison P. McDowell,R,NC,H,119,119,9
G000606,Adelita S. Grijalva,D,AZ,H,119,119,3
S001172,Adrian Smith,R,NE,H,110,119,315
E000297,Adriano Espaillat,D,NY,H,115,119,176
F000457,Al Franken,D,MN,S,111,115,522
G000553,Al Green,D,TX,H,109,119,909
L000586,"Al Lawson, Jr.",D,FL,E,115,117,19
L000579,Alan S. Lowenthal,D,CA,E,113,117,288
S001165,Albio Sires,D,NJ,H,109,117,303
H000324,Alcee L. Hastings,D,FL,E,107,117,3017
P000145,Alex Padilla,D,CA,S,117,119,154
M001195,Alexander X. Mooney,R,WV,H,114,118,111
O000172,Alexandria Ocasio-Cortez,D,NY,H,116,119,26
A000370,Alma S. Adams,D,NC,H,113,119,148
B001287,Ami Bera,D,CA,H,113,119,144
K000367,Amy Klobuchar,D,MN,S,110,119,1153
S001226,Andrea Salinas,D,OR,H,118,119,51
O000175,Andrew Ogles,R,TN,H,118,118,17
G000597,Andrew R. Garbarino,R,NY,E,117,119,17
C001116,Andrew S. Clyde,R,GA,H,117,119,57
C001072,André Carson,D,IN,E,115,119,78
B001282,Andy Barr,R,KY,H,113,119,247
B001302,Andy Biggs,R,AZ,H,115,119,102
H001052,Andy Harris,R,MD,H,112,119,195
K000394,Andy Kim,D,NJ,S,116,119,45
L000592,Andy Levin,D,MI,H,116,117,50
A000382,Angela D. Alsobrooks,D,MD,S,119,119,6
C001119,Angie Craig,D,MN,H,116,119,70
K000383,"Angus S. King, Jr.",I,ME,S,113,119,286
K000368,Ann Kirkpatrick,D,AZ,E,111,117,190
K000382,Ann M. Kuster,D,NH,H,113,118,218
W000812,Ann Wagner,R,MO,E,113,119,198
E000215,Anna G. Eshoo,D,CA,H,107,118,610
L000596,Anna Paulina Luna,R,FL,H,118,119,15
B001308,Anthony Brindisi,D,NY,H,116,116,6
D000632,Anthony D’Esposito,R,NY,H,118,118,26
B001304,Anthony G. Brown,D,MD,H,115,117,51
G000588,Anthony Gonzalez,R,OH,H,116,117,15
D000630,Antonio Delgado,D,NY,H,116,117,36
H001091,Ashley Hinson,R,IA,H,117,119,25
M001244,Ashley Moody,R,FL,S,119,119,6
P000048,August Pfluger,R,TX,H,117,119,40
R000600,Aumua Amata Coleman Radewagen,R,AS,E,115,118,20
S001189,Austin Scott,R,GA,H,112,119,170
P000617,Ayanna Pressley,D,MA,H,116,119,70
B001234,"BACA, JOE",D,CA,H,107,112,631
B001256,"BACHMANN, MICHELE",R,MN,H,110,113,588
B000013,"BACHUS, SPENCER",R,AL,H,107,113,960
B001229,"BAIRD, BRIAN",D,WA,H,107,111,483
B000072,"BAKER, RICHARD",R,LA,H,107,110,269
B000081,"BALDACCI, JOHN",D,ME,H,107,107,48
B001238,"BALLANCE, FRANK",D,NC,H,108,108,41
B000104,"BALLENGER, CASS",R,NC,H,107,108,115
B001279,"BARBER, RON",D,AZ,H,112,113,86
B000134,"BARCIA, JAMES",D,MI,H,107,107,29
B001237,"BARKLEY, DEAN",I,MN,S,107,107,6
B000169,"BARR, BOB",R,GA,H,107,107,56
B001239,"BARRETT, JAMES",R,SC,H,108,111,204
B000177,"BARRETT, THOMAS",D,WI,H,107,107,13
B001252,"BARROW, JOHN",D,GA,H,109,113,237
B000208,"BARTLETT, ROSCOE",R,MD,H,107,112,408
B000220,"BASS, CHARLES",R,NH,H,107,112,145
B000243,"BAUCUS, MAX",D,MT,S,107,113,4825
B001233,"BAYH, EVAN",D,IN,S,107,111,429
B001253,"BEAN, MELISSA",D,IL,H,109,111,171
B001240,"BEAUPREZ, BOB",R,CO,H,108,109,105
B000287,"BECERRA, XAVIER",D,CA,H,107,114,414
B001265,"BEGICH, MARK",D,AK,S,111,113,522
B001241,"BELL, CHRIS",D,TX,H,108,108,90
B001271,"BENISHEK, DAN",R,MI,H,112,114,205
B000382,"BENNETT, ROBERT",R,UT,S,107,111,1404
B001280,"BENTIVOLIO, KERRY",R,MI,H,113,113,64
B000400,"BENTSEN, KEN",D,TX,H,107,107,161
B000403,"BEREUTER, DOUGLAS",R,NE,H,107,108,567
B001272,"BERG, RICK",R,ND,H,112,112,50
B001231,"BERKLEY, SHELLEY",D,NV,H,107,112,584
B000410,"BERMAN, HOWARD",D,CA,H,107,112,1273
B000420,"BERRY, ROBERT",D,AR,H,107,111,169
B000444,"BIDEN, JOSEPH",D,DE,S,107,111,1395
B001232,"BIGGERT, JUDY",R,IL,H,107,112,1068
B000461,"BILBRAY, BRIAN",R,CA,H,109,112,233
B000463,"BILIRAKIS, MICHAEL",R,FL,H,107,109,434
B000468,"BINGAMAN, JEFF",D,NM,S,107,112,3424
B001242,"BISHOP, TIMOTHY",D,NY,H,108,113,576
