bioguide_id,first_name,last_name,speaker_name,party,state,district,chamber,congress,term_start_date,term_end_date,age_at_term_start,age_at_term_end,house_service_length,senate_service_length,total_service_length,speech_count_in_term,total_words_in_term,avg_words_per_speech,nominate_dim1,nominate_dim2,tran
A000014,Neil,Abercrombie,"ABERCROMBIE, NEIL",D,HI,1,House,107,2001-01-03,2003-01-03,62,64,11,0,11,33,12361,374.6,-0.432,-0.026,0
,Anibal,Acevedo-Vila,"ACEVEDO-VILA, ANIBAL",A,PR,0,House,107,2001-01-03,2003-01-03,,,,,,16,6953,434.6,,,0
A000022,Gary Leonard,Ackerman,"ACKERMAN, GARY",D,NY,5,House,107,2001-01-03,2003-01-03,58,60,15,0,15,34,14113,415.1,-0.429,-0.165,0
A000055,Robert,Aderholt,"ADERHOLT, ROBERT",R,AL,4,House,107,2001-01-03,2003-01-03,35,37,15,0,15,13,3348,257.5,0.405,0.469,0
A000069,Daniel Kahikina,Akaka,"AKAKA, DANIEL",D,HI,,Senate,107,2001-01-03,2003-01-03,76,78,7,12,19,103,70751,686.9,-0.419,0.273,0
A000358,W. Todd,Akin,"AKIN, W.",R,MO,2,House,107,2001-01-03,2003-01-03,53,55,6,0,6,10,3047,304.7,0.612,0.235,0
A000109,A. Wayne,Allard,"ALLARD, WAYNE",R,CO,,Senate,107,2001-01-03,2003-01-03,57,59,3,6,9,147,86322,587.2,0.572,-0.121,0
A000121,George,Allen,"ALLEN, GEORGE",R,VA,,Senate,107,2001-01-03,2003-01-03,48,50,1,3,4,155,88019,567.9,0.409,-0.053,0
A000357,Thomas H.,Allen,"ALLEN, THOMAS",D,ME,1,House,107,2001-01-03,2003-01-03,55,57,6,0,6,107,45306,423.4,-0.4,-0.105,0
A000210,Robert Ernest,Andrews,"ANDREWS, ROBERT",D,NJ,1,House,107,2001-01-03,2003-01-03,43,45,12,0,12,97,26965,278.0,-0.297,-0.119,0
A000217,Richard Keith,Armey,"ARMEY, RICHARD",R,TX,26,House,107,2001-01-03,2003-01-03,60,62,9,0,9,321,74226,231.2,0.635,-0.089,0
B001234,Joe,Baca,"BACA, JOE",D,CA,42,House,107,2001-01-03,2003-01-03,53,55,7,0,7,66,25193,381.7,-0.349,0.292,0
B000013,"Spencer T., III",Bachus,"BACHUS, SPENCER",R,AL,6,House,107,2001-01-03,2003-01-03,53,55,11,0,11,66,24216,366.9,0.387,0.228,0
B001229,Brian,Baird,"BAIRD, BRIAN",D,WA,3,House,107,2001-01-03,2003-01-03,44,46,6,0,6,46,17469,379.8,-0.342,0.257,0
B000072,Richard Hugh,Baker,"BAKER, RICHARD",R,LA,6,House,107,2001-01-03,2003-01-03,52,54,11,0,11,27,10562,391.2,0.423,0.022,0
