bioguide_id,matched_to,pseudo_anchor_congress
L000569,B000575,111
A000358,B000575,111
G000546,B000575,111
R000577,B000944,109
K000009,B000944,109
J000284,B000944,109
B000104,B001135,108
H001029,B001135,108
T000067,B001135,108
O000007,B001230,111
M001160,B001230,111
K000365,B001230,111
G000557,B001236,111
L000274,B001236,111
J000255,B001236,111
H000874,C000141,109
R000576,C000141,109
W000784,C000141,109
N000159,C000286,107
D000168,C000286,107
C000640,C000286,107
M001180,C001047,113
B001255,C001075,113
F000456,C001075,113
S001176,C001075,113
C001087,C001095,113
G000567,C001095,113
W000809,C001095,113
B001239,D000595,108
B001235,D000595,108
W000795,D000595,108
E000289,D000607,111
H001030,D000607,111
V000108,D000607,111
J000296,D000618,113
C001102,D000618,113
G000570,D000618,113
S000275,F000444,111
F000448,F000444,111
S000718,G000359,107
H001039,G000555,110
T000326,G000555,110
H000627,G000555,110
C001077,G000562,113
T000470,G000562,113
L000564,G000562,113
J000289,H001041,111
C001046,H001041,111
B001256,H001041,111
A000014,H001042,111
T000466,H001046,111
H000323,K000360,110
S000364,K000360,110
M001138,K000360,110
B001283,L000575,113
M001190,L000575,113
L000491,L000575,113
K000375,M000133,112
C001037,M000133,112
O000085,M000133,112
A000210,M000639,108
R000462,M000639,108
H001032,M000639,108
T000260,M000934,111
J000290,M000934,111
H001047,M001169,111
D000216,M001169,111
C001069,M001169,111
D000355,P000595,113
K000380,P000595,113
L000263,P000595,113
B000220,S001078,107
P000265,T000250,107
R000571,T000250,107
K000078,T000250,107
P000585,T000461,108
W000268,T000461,108
P000263,T000461,108
P000593,U000038,110
S001158,U000038,110
D000197,U000038,110
I000026,U000039,110
M001164,U000039,110
B000072,V000127,108
T000058,V000127,108
A000361,V000127,108
P000323,W000437,109
