frame,word,count,too_rare,too_common,in_range
Beneficial,ability,6554,False,True,False
Beneficial,build,3644,False,True,False
Beneficial,patent,2165,False,True,False
Beneficial,hardworking,1313,False,True,False
Beneficial,legitimate,1077,False,True,False
Beneficial,gain,924,False,True,False
Beneficial,contribute,859,False,True,False
Beneficial,contribution,814,False,True,False
Beneficial,hero,692,False,True,False
Beneficial,enrich,267,False,True,False
Beneficial,entrepreneur,83,False,True,False
Beneficial,highskilled,29,False,False,True
Beneficial,industrious,8,True,False,False
Crime,criminal,2718,False,True,False
Crime,detention,760,False,True,False
Crime,jail,712,False,True,False
Crime,prosecution,480,False,True,False
Crime,gang,471,False,True,False
Crime,prosecute,470,False,True,False
Crime,capture,456,False,True,False
Crime,arrest,423,False,True,False
Crime,punish,334,False,True,False
Crime,steal,245,False,True,False
Crime,smuggling,244,False,True,False
Crime,detainee,239,False,True,False
Crime,incarceration,190,False,True,False
Crime,detain,148,False,True,False
Crime,parole,107,False,True,False
Crime,smuggle,83,False,True,False
Crime,criminalize,79,False,True,False
Crime,fugitive,76,False,True,False
Crime,apprehend,73,False,True,False
Crime,intercept,59,False,True,False
Crime,felon,44,False,True,False
Crime,inmate,44,False,True,False
Crime,smuggler,44,False,True,False
Crime,convict,43,False,True,False
Crime,imprison,27,False,False,True
Crime,incarcerate,24,False,False,True
Crime,violator,14,False,False,True
Crime,bash,8,True,False,False
Crime,noncriminal,4,True,False,False
Crime,absconder,0,True,False,False
Culture,foreign,7314,False,True,False
Culture,language,4905,False,True,False
Culture,citizen,1636,False,True,False
Culture,background,1425,False,True,False
Culture,race,1216,False,True,False
Culture,tradition,957,False,True,False
Culture,heritage,953,False,True,False
Culture,culture,895,False,True,False
Culture,citizenship,690,False,True,False
Culture,diversity,626,False,True,False
Culture,diverse,612,False,True,False
Culture,foreignborn,36,False,True,False
Culture,assimilate,21,False,False,True
Culture,foreigner,15,False,False,True
Culture,descendant,11,False,False,True
Culture,assimilation,9,True,False,False
Culture,ancestor,6,True,False,False
Culture,americanization,0,True,False,False
Deficient,cheap,361,False,True,False
Deficient,drunk,181,False,True,False
Deficient,objectionable,91,False,True,False
Deficient,unfit,34,False,True,False
Deficient,ignorant,27,False,False,True
Deficient,illiteracy,22,False,False,True
Deficient,undesirable,20,False,False,True
Deficient,illiterate,18,False,False,True
Deficient,desirability,16,False,False,True
Deficient,unskilled,16,False,False,True
Deficient,slacker,1,True,False,False
Economic,tax,25378,False,True,False
Economic,budget,22549,False,True,False
Economic,pay,15284,False,True,False
Economic,funding,15025,False,True,False
Economic,economic,13635,False,True,False
Economic,land,5224,False,True,False
Economic,environmental,4529,False,True,False
Economic,housing,4150,False,True,False
Economic,buy,3789,False,True,False
Economic,taxpayer,3631,False,True,False
Economic,bank,2921,False,True,False
Economic,property,2822,False,True,False
Economic,agricultural,1692,False,True,False
Economic,competition,1609,False,True,False
Economic,purchase,1522,False,True,False
Economic,finance,1500,False,True,False
Economic,appropriation,1363,False,True,False
Economic,corporation,1141,False,True,False
Economic,cash,819,False,True,False
Economic,sale,710,False,True,False
Economic,coin,253,False,True,False
Economic,cent,251,False,True,False
Economic,investor,237,False,True,False
Economic,miner,43,False,True,False
Economic,landlord,14,False,False,True
Economic,specie,0,True,False,False
Economic,taxpaye,0,True,False,False
Exclusion,allow,9258,False,True,False
Exclusion,apply,1818,False,True,False
Exclusion,shut,1792,False,True,False
Exclusion,eligible,1637,False,True,False
Exclusion,reject,1520,False,True,False
Exclusion,ban,1271,False,True,False
Exclusion,deny,1237,False,True,False
Exclusion,qualified,1164,False,True,False
Exclusion,permit,1120,False,True,False
Exclusion,prohibit,1008,False,True,False
Exclusion,ceiling,900,False,True,False
Exclusion,screening,846,False,True,False
Exclusion,bar,708,False,True,False
Exclusion,qualify,659,False,True,False
Exclusion,exemption,650,False,True,False
Exclusion,exempt,526,False,True,False
Exclusion,admit,497,False,True,False
Exclusion,prohibition,477,False,True,False
Exclusion,removal,449,False,True,False
Exclusion,restrict,445,False,True,False
Exclusion,license,377,False,True,False
Exclusion,verification,331,False,True,False
Exclusion,screen,278,False,True,False
Exclusion,exclusion,216,False,True,False
Exclusion,exclude,213,False,True,False
Exclusion,restriction,209,False,True,False
Exclusion,deported,194,False,True,False
Exclusion,deportation,190,False,True,False
Exclusion,admission,173,False,True,False
Exclusion,vetting,139,False,True,False
Exclusion,vet,136,False,True,False
Exclusion,forbid,127,False,True,False
Exclusion,ineligible,99,False,True,False
Exclusion,deport,94,False,True,False
Exclusion,quota,74,False,True,False
Exclusion,qualification,63,False,True,False
Exclusion,repatriation,31,False,False,True
Exclusion,expel,30,False,False,True
Exclusion,expulsion,29,False,False,True
Exclusion,deportable,21,False,False,True
Exclusion,repatriate,18,False,False,True
Exclusion,admissibility,12,False,False,True
Exclusion,inadmissible,7,True,False,False
Exclusion,admissible,5,True,False,False
Exclusion,excludable,0,True,False,False
Family,family,11868,False,True,False
Family,child,5340,False,True,False
Family,generation,2704,False,True,False
Family,wife,2170,False,True,False
Family,son,1435,False,True,False
Family,husband,1158,False,True,False
Family,daughter,912,False,True,False
Family,marriage,906,False,True,False
Family,boy,759,False,True,False
Family,adult,727,False,True,False
Family,parent,631,False,True,False
Family,minor,573,False,True,False
Family,relative,566,False,True,False
Family,household,527,False,True,False
Family,kid,332,False,True,False
Family,spouse,253,False,True,False
Family,marry,86,False,True,False
Family,grandson,79,False,True,False
Family,granddaughter,73,False,True,False
Family,orphan,54,False,True,False
Family,grandparent,52,False,True,False
Family,grandchild,34,False,True,False
Family,familybased,24,False,False,True
Family,familysponsored,5,True,False,False
Labor,workforce,2332,False,True,False
Labor,worker,1927,False,True,False
Labor,employment,1795,False,True,False
Labor,compete,1355,False,True,False
Labor,hire,1340,False,True,False
Labor,employer,1233,False,True,False
Labor,employee,1232,False,True,False
Labor,hiring,760,False,True,False
Labor,employ,409,False,True,False
Labor,employmentbased,21,False,False,True
Labor,laborer,20,False,False,True
Labor,farmworker,4,True,False,False
Legality,law,23666,False,True,False
Legality,right,22605,False,True,False
Legality,legal,4509,False,True,False
Legality,hearing,3787,False,True,False
Legality,illegal,3331,False,True,False
Legality,permanent,2544,False,True,False
Legality,evidence,2200,False,True,False
Legality,amnesty,744,False,True,False
Legality,visa,743,False,True,False
Legality,eligibility,643,False,True,False
Legality,undocumented,345,False,True,False
Legality,lawful,324,False,True,False
Legality,unlawful,319,False,True,False
Legality,registered,264,False,True,False
Legality,unauthorized,167,False,True,False
Legality,provisional,132,False,True,False
Legality,proportion,102,False,True,False
Legality,legalization,100,False,True,False
Legality,legalize,92,False,True,False
Legality,legalized,85,False,True,False
Legality,adjudication,28,False,False,True
Legality,overstay,17,False,False,True
Legality,debar,6,True,False,False
Legality,lawabide,0,True,False,False
Migration,come,19422,False,True,False
Migration,pass,10345,False,True,False
Migration,move,9584,False,True,False
Migration,coming,6217,False,True,False
Migration,immigration,4128,False,True,False
Migration,passage,3661,False,True,False
Migration,leave,3380,False,True,False
Migration,return,2930,False,True,False
Migration,travel,1775,False,True,False
Migration,port,1183,False,True,False
Migration,enter,1081,False,True,False
Migration,station,948,False,True,False
Migration,passenger,745,False,True,False
Migration,cross,710,False,True,False
Migration,settlement,654,False,True,False
Migration,immigrant,584,False,True,False
Migration,refugee,422,False,True,False
Migration,entry,377,False,True,False
Migration,route,342,False,True,False
Migration,transport,275,False,True,False
Migration,settle,232,False,True,False
Migration,arrive,225,False,True,False
Migration,departure,188,False,True,False
Migration,passport,186,False,True,False
Migration,boat,183,False,True,False
Migration,migration,164,False,True,False
Migration,landing,149,False,True,False
Migration,arrival,140,False,True,False
Migration,applicant,124,False,True,False
Migration,destination,112,False,True,False
Migration,depot,105,False,True,False
Migration,incoming,99,False,True,False
Migration,relocation,91,False,True,False
Migration,resettlement,73,False,True,False
Migration,relocate,72,False,True,False
Migration,depart,65,False,True,False
Migration,entrance,63,False,True,False
Migration,reenter,38,False,True,False
Migration,migrate,36,False,True,False
Migration,immigrate,19,False,False,True
Migration,resettle,18,False,False,True
Migration,emigrate,12,False,False,True
Migration,resettling,3,True,False,False
Migration,shipload,1,True,False,False
Quantity,more,61442,False,True,False
Quantity,many,34777,False,True,False
Quantity,million,24881,False,True,False
Quantity,most,23442,False,True,False
Quantity,much,18522,False,True,False
Quantity,number,12260,False,True,False
Quantity,increase,11958,False,True,False
Quantity,additional,6623,False,True,False
Quantity,addition,4081,False,True,False
Quantity,add,3541,False,True,False
Quantity,total,2939,False,True,False
Quantity,estimated,1773,False,True,False
Quantity,mass,1707,False,True,False
Quantity,cap,1147,False,True,False
Quantity,percentage,1088,False,True,False
Quantity,stock,1072,False,True,False
Quantity,count,847,False,True,False
Quantity,estimate,745,False,True,False
Quantity,backlog,656,False,True,False
Quantity,thousand,574,False,True,False
Quantity,counting,326,False,True,False
Quantity,bunch,321,False,True,False
Quantity,sum,319,False,True,False
Quantity,bulk,274,False,True,False
Quantity,fraction,234,False,True,False
Quantity,crowd,207,False,True,False
Quantity,statistic,185,False,True,False
Quantity,exodus,32,False,False,True
Quantity,masse,24,False,False,True
Quantity,boatload,3,True,False,False
Quantity,twothird,1,True,False,False
Sympathetic,help,19604,False,True,False
Sympathetic,hope,12284,False,True,False
Sympathetic,assistance,5177,False,True,False
Sympathetic,relief,4046,False,True,False
Sympathetic,deserve,3535,False,True,False
Sympathetic,concern,3142,False,True,False
Sympathetic,aid,2412,False,True,False
Sympathetic,suffering,1488,False,True,False
Sympathetic,struggle,1251,False,True,False
Sympathetic,assist,1066,False,True,False
Sympathetic,welcome,1066,False,True,False
Sympathetic,humanitarian,973,False,True,False
Sympathetic,hopeful,968,False,True,False
Sympathetic,worthy,867,False,True,False
Sympathetic,victim,733,False,True,False
Sympathetic,rescue,696,False,True,False
Sympathetic,feed,618,False,True,False
Sympathetic,refuge,580,False,True,False
Sympathetic,compassion,536,False,True,False
Sympathetic,desperate,536,False,True,False
Sympathetic,embrace,461,False,True,False
Sympathetic,escape,354,False,True,False
Sympathetic,friendly,329,False,True,False
Sympathetic,genuine,281,False,True,False
Sympathetic,belong,270,False,True,False
Sympathetic,persecution,230,False,True,False
Sympathetic,asylum,219,False,True,False
Sympathetic,assisted,201,False,True,False
Sympathetic,plight,183,False,True,False
Sympathetic,beacon,164,False,True,False
Sympathetic,acceptance,135,False,True,False
Sympathetic,impoverished,92,False,True,False
Sympathetic,desirable,79,False,True,False
Sympathetic,languish,79,False,True,False
Sympathetic,battered,70,False,True,False
Sympathetic,helpless,61,False,True,False
Sympathetic,persecute,11,False,False,True
Sympathetic,uproot,8,True,False,False
Sympathetic,penniless,2,True,False,False
Threat,cost,11599,False,True,False
