frame,target_word,group,speaker,period,occurrence_count,bioguide_id,party,state,district,chamber,matched_pair_id,cohort,match_weight
Beneficial,ability,control,"ADERHOLT, ROBERT",post,52,A000055,R,AL,4,H,1|24|28|3|33|5,107,0.333333333333333
Beneficial,ability,control,"ADERHOLT, ROBERT",pre,10,A000055,R,AL,4,H,1|24|33|5,107,0.333333333333333
Beneficial,ability,control,"BLUMENAUER, EARL",post,118,B000574,D,OR,3,H,2,107,0.333333333333333
Beneficial,ability,control,"BLUMENAUER, EARL",pre,48,B000574,D,OR,3,H,2,107,0.333333333333333
Beneficial,ability,control,"BOEHNER, JOHN",post,44,B000589,R,OH,8,H,32,107,0.333333333333333
Beneficial,ability,control,"BOEHNER, JOHN",pre,23,B000589,R,OH,8,H,32,107,0.333333333333333
Beneficial,ability,control,"CALVERT, KEN",post,48,C000059,R,CA,42|44,H,14|33,107,0.333333333333333
Beneficial,ability,control,"CALVERT, KEN",pre,5,C000059,R,CA,43|44,H,33,107,0.333333333333333
Beneficial,ability,control,"CASTOR, KATHY",post,28,C001066,D,FL,11|14,H,15,110,0.333333333333333
Beneficial,ability,control,"CHU, JUDY",post,15,C001080,D,CA,27|32,H,18,111,0.333333333333333
Beneficial,ability,control,"CLYBURN, JAMES",post,2,C000537,D,SC,6,H,31|4,107,0.333333333333333
Beneficial,ability,control,"CLYBURN, JAMES",pre,4,C000537,D,SC,6,H,31|4,107,0.333333333333333
Beneficial,ability,control,"COHEN, STEVE",post,31,C001068,D,TN,9,H,15,110,0.333333333333333
Beneficial,ability,control,"CONNOLLY, GERALD",post,43,C001078,D,VA,11,H,19,111,0.333333333333333
Beneficial,ability,control,"COURTNEY, JOE",post,19,C001069,D,CT,2,H,25,110,0.333333333333333
Beneficial,ability,control,"COURTNEY, JOE",pre,2,C001069,D,CT,2,H,25,110,0.333333333333333
Beneficial,ability,control,"CRAWFORD, ERIC",post,3,C001087,R,AR,1,H,9,112,0.333333333333333
Beneficial,ability,control,"CRAWFORD, ERIC",pre,2,C001087,R,AR,1,H,9,112,0.333333333333333
Beneficial,ability,control,"CULBERSON, JOHN",post,28,C001048,R,TX,7,H,32,107,0.333333333333333
Beneficial,ability,control,"CULBERSON, JOHN",pre,2,C001048,R,TX,7,H,32,107,0.333333333333333
Beneficial,ability,control,"DAVIS, DANNY",post,20,D000096,D,IL,7,H,4,107,0.333333333333333
Beneficial,ability,control,"DAVIS, DANNY",pre,92,D000096,D,IL,7,H,4,107,0.333333333333333
Beneficial,ability,control,"DEGETTE, DIANA",post,18,D000197,D,CO,1,H,2,107,0.333333333333333
Beneficial,ability,control,"DEGETTE, DIANA",pre,8,D000197,D,CO,1,H,2,107,0.333333333333333
Beneficial,ability,control,"DESJARLAIS, SCOTT",pre,4,D000616,R,TN,4,H,21,112,0.333333333333333
Beneficial,ability,control,"ESHOO, ANNA",post,26,E000215,D,CA,14|18,H,23,107,0.333333333333333
Beneficial,ability,control,"ESHOO, ANNA",pre,3,E000215,D,CA,14,H,23,107,0.333333333333333
Beneficial,ability,control,"FLEISCHMANN, CHARLES",pre,1,F000459,R,TN,3,H,16,112,0.333333333333333
Beneficial,ability,control,"FOSTER, BILL",post,20,F000454,D,IL,11,H,25|26,110,0.333333333333333
Beneficial,ability,control,"FOSTER, BILL",pre,2,F000454,D,IL,14,H,25|26,110,0.333333333333333
Beneficial,ability,control,"GARAMENDI, JOHN",post,96,G000559,D,CA,10|3,H,19,111,0.333333333333333
Beneficial,ability,control,"GOODLATTE, BOB",post,79,G000289,R,VA,6,H,32,107,0.333333333333333
Beneficial,ability,control,"GOODLATTE, BOB",pre,8,G000289,R,VA,6,H,32,107,0.333333333333333
Beneficial,ability,control,"GRANGER, KAY",post,12,G000377,R,TX,12,H,1|28|3,107,0.333333333333333
Beneficial,ability,control,"GRANGER, KAY",pre,3,G000377,R,TX,12,H,1,107,0.333333333333333
Beneficial,ability,control,"GRAVES, SAM",post,19,G000546,R,MO,6,H,24|28|3|5,107,0.333333333333333
Beneficial,ability,control,"GRAVES, SAM",pre,11,G000546,R,MO,6,H,24|3|5,107,0.333333333333333
Beneficial,ability,control,"GUTHRIE, BRETT",post,2,G000558,R,KY,2,H,9,111,0.333333333333333
Beneficial,ability,control,"GUTHRIE, BRETT",pre,2,G000558,R,KY,2,H,9,111,0.333333333333333
Beneficial,ability,control,"HASTINGS, DOC",post,80,H000329,R,WA,4,H,7,107,0.333333333333333
Beneficial,ability,control,"HIMES, JAMES",post,2,H001047,D,CT,4,H,26,111,0.333333333333333
Beneficial,ability,control,"HIMES, JAMES",pre,5,H001047,D,CT,4,H,26,111,0.333333333333333
Beneficial,ability,control,"HOYER, STENY",post,218,H000874,D,MD,5,H,23,107,0.333333333333333
Beneficial,ability,control,"HOYER, STENY",pre,23,H000874,D,MD,5,H,23,107,0.333333333333333
Beneficial,ability,control,"ISSA, DARRELL",post,102,I000056,R,CA,49,H,27|5,107,0.333333333333333
Beneficial,ability,control,"ISSA, DARRELL",pre,42,I000056,R,CA,48|49,H,5,107,0.333333333333333
Beneficial,ability,control,"JOHNSON, BILL",post,1,J000292,R,OH,6,H,16,112,0.333333333333333
Beneficial,ability,control,"JOHNSON, BILL",pre,6,J000292,R,OH,6,H,16,112,0.333333333333333
Beneficial,ability,control,"JOHNSON, SAM",post,10,J000174,R,TX,3,H,29,107,0.333333333333333
Beneficial,ability,control,"JOHNSON, SAM",pre,4,J000174,R,TX,3,H,29,107,0.333333333333333
Beneficial,ability,control,"KAPTUR, MARCY",post,61,K000009,D,OH,9,H,6,107,0.333333333333333
Beneficial,ability,control,"KAPTUR, MARCY",pre,25,K000009,D,OH,9,H,6,107,0.333333333333333
Beneficial,ability,control,"KING, PETER",post,10,K000210,R,NY,2|3,H,20,107,0.333333333333333
Beneficial,ability,control,"KING, PETER",pre,4,K000210,R,NY,3,H,20,107,0.333333333333333
Beneficial,ability,control,"LAMALFA, DOUG",post,34,L000578,R,CA,1,H,10|13,113,0.333333333333333
Beneficial,ability,control,"LARSEN, RICK",post,13,L000560,D,WA,2,H,23,107,0.333333333333333
Beneficial,ability,control,"LARSEN, RICK",pre,1,L000560,D,WA,2,H,23,107,0.333333333333333
Beneficial,ability,control,"LUCAS, FRANK",post,61,L000491,R,OK,3,H,1|14|24|33,107,0.333333333333333
Beneficial,ability,control,"LUCAS, FRANK",pre,13,L000491,R,OK,3|6,H,1|24|33,107,0.333333333333333
