label,n_obs,n_speakers,n_words,coef_DiD,se,ci_lo,ci_hi,p_value,sig,r2_adj
pooled_all_frames,15963,104,117,0.006,0.00294,0.00023,0.01176,0.0415,**,0.8166
Beneficial,905,103,6,0.00808,0.0049,-0.00152,0.01768,0.0992,*,0.8701
Crime,453,86,9,0.04081,0.02642,-0.01097,0.09258,0.1224,ns,0.7457
Culture,1124,102,9,0.01259,0.00426,0.00424,0.02094,0.0031,***,0.5689
Economic,3091,104,17,0.00081,0.00352,-0.0061,0.00771,0.8186,ns,0.677
Exclusion,1241,102,14,0.00308,0.00521,-0.00714,0.01329,0.555,ns,0.8195
Family,1116,103,8,0.01018,0.00524,-0.0001,0.02046,0.0523,*,0.8112
Labor,767,94,6,0.00288,0.00768,-0.01217,0.01794,0.7072,ns,0.7881
Legality,1590,104,10,0.0031,0.0058,-0.00826,0.01446,0.5926,ns,0.8637
Migration,2475,104,16,0.01107,0.00491,0.00145,0.0207,0.0242,**,0.8133
Sympathetic,2186,103,15,0.00404,0.00375,-0.00331,0.01139,0.2812,ns,0.8709
Threat,1015,104,7,0.00383,0.00411,-0.00422,0.01189,0.3509,ns,0.8482
