model,n_conf,confounders,n_obs,k_params,coef,se,ci_lo,ci_hi,p,sig,aic,bic,r2_adj,delta_aic,delta_bic
M(2): A:party+D:cohort,2,A:party+D:cohort,162,5,0.00778,0.004037,-0.000132,0.015693,0.0539,*,-942.8067,-924.2811,0.1266,0.0,1.8642999999999574
M(2): B:ideology+D:cohort,2,B:ideology+D:cohort,162,5,0.00778,0.004036,-0.000129,0.01569,0.0539,*,-942.6661,-924.1405,0.1259,0.14059999999994943,2.0049000000000206
M(3): B:ideology+D:cohort+E:|ideo|,3,B:ideology+D:cohort+E:|ideo|,162,6,0.00778,0.004061,-0.00018,0.015741,0.0554,*,-942.0915,-920.4784,0.1279,0.7151999999999816,5.66700000000003
M(3): A:party+D:cohort+E:|ideo|,3,A:party+D:cohort+E:|ideo|,162,6,0.00778,0.004063,-0.000184,0.015744,0.0555,*,-942.0039,-920.3907,0.1274,0.8027999999999338,5.754699999999957
M(1): B:ideology,1,B:ideology,162,4,0.00778,0.003989,-3.9e-05,0.015599,0.0511,*,-941.5834,-926.1454,0.1147,1.2232999999999947,0.0
M(2): B:ideology+E:|ideo|,2,B:ideology+E:|ideo|,162,5,0.00778,0.004017,-9.2e-05,0.015653,0.0527,*,-941.5341,-923.0086,0.1197,1.2726000000000113,3.136799999999994
M(1): A:party,1,A:party,162,4,0.00778,0.003996,-5.1e-05,0.015612,0.0515,*,-941.1294,-925.6914,0.1123,1.6772999999999456,0.4539999999999509
M(3): A:party+C:tenure+D:cohort,3,A:party+C:tenure+D:cohort,162,6,0.00778,0.004063,-0.000183,0.015744,0.0555,*,-940.9896,-919.3764,0.122,1.8170999999999822,6.7690000000000055
M(3): A:party+C:tenure+E:|ideo|,3,A:party+C:tenure+E:|ideo|,162,6,0.00778,0.004037,-0.000131,0.015692,0.0539,*,-940.8733,-919.2602,0.1213,1.933400000000006,6.885199999999941
M(3): A:party+B:ideology+D:cohort,3,A:party+B:ideology+D:cohort,162,6,0.00778,0.004062,-0.000182,0.015743,0.0555,*,-940.8252,-919.212,0.1211,1.9814999999999827,6.933400000000006
