"bioguide_id","n_pairs_used"
"A000055",6
"G000546",4
"L000491",4
"G000377",3
"C000059",2
"C000537",2
"F000454",2
"I000056",2
"L000578",2
"M001144",2
"M001160",2
"R000395",2
"S000344",2
"S001195",2
"W000804",2
"W000816",2
"B000574",1
"B000589",1
"C001048",1
"C001059",1
"C001066",1
"C001068",1
"C001069",1
"C001078",1
"C001080",1
"C001087",1
"D000096",1
"D000197",1
"D000616",1
"E000215",1
"F000459",1
"G000289",1
"G000558",1
"G000559",1
"H000329",1
"H000874",1
"H001047",1
"J000174",1
"J000292",1
"K000009",1
"K000210",1
"K000368",1
"L000560",1
"L000562",1
"M000312",1
"M001139",1
"M001143",1
"M001165",1
"M001166",1
"M001191",1
"N000002",1
"N000179",1
"P000197",1
"P000523",1
"P000587",1
"Q000023",1
"R000409",1
"R000487",1
"R000580",1
"S000185",1
"S000583",1
"S001148",1
"S001150",1
"S001168",1
"S001183",1
"S001189",1
"T000193",1
"T000459",1
"T000463",1
"T000468",1
"T000470",1
"W000267",1
"W000672",1
"Y000033",1
